iter	MultiClass
0	1.270952596
1	1.179164803
2	1.105989952
3	1.044751882
4	0.994657189
5	0.9526886384
6	0.9158394731
7	0.8851837297
8	0.8590582317
9	0.8345957109
10	0.8149823212
11	0.7976897198
12	0.7811142612
13	0.7663383931
14	0.7552731614
15	0.7419785809
16	0.7315560746
17	0.7225972746
18	0.7147669635
19	0.7093825416
20	0.7028896034
21	0.6969322697
22	0.6909120454
23	0.6861072552
24	0.6818500404
25	0.6781613621
26	0.6755052974
27	0.6703871983
28	0.6658260284
29	0.662398644
30	0.6604625698
31	0.6577475316
32	0.6554601549
33	0.6526318787
34	0.65074447
35	0.6485513471
36	0.6471033673
37	0.6451435418
38	0.6425996248
39	0.6407082985
40	0.6381612506
41	0.6368792562
42	0.6350511454
43	0.6339939155
44	0.6324702202
45	0.6309599252
46	0.6294536353
47	0.6272401692
48	0.626381617
49	0.6253269438
50	0.6242086749
51	0.6227743215
52	0.6218461776
53	0.6209722586
54	0.6198273598
55	0.6189162835
56	0.6180891354
57	0.6170587452
58	0.6165404968
59	0.6149323213
60	0.6141079017
61	0.6134592979
62	0.613015589
63	0.6121680288
64	0.6118216008
65	0.6110525204
66	0.6105184529
67	0.6101092871
68	0.6092215125
69	0.6083299453
70	0.6079022823
71	0.6075190238
72	0.6070792462
73	0.6066216732
74	0.6060627069
75	0.6054507281
76	0.6046342883
77	0.6043684112
78	0.6031724642
79	0.6026741551
80	0.6023938133
81	0.6016158405
82	0.6010455317
83	0.5997215206
84	0.5993854044
85	0.5989452677
86	0.5985245871
87	0.5975316337
88	0.597087895
89	0.5965928008
90	0.5962393748
91	0.5958859906
92	0.5953878472
93	0.5950138753
94	0.5945262895
95	0.5943521901
96	0.5940140838
97	0.5937573142
98	0.5934574118
99	0.5932262779
100	0.5930523165
101	0.5927901378
102	0.5923529732
103	0.5921086978
104	0.5914174725
105	0.5911187104
106	0.5908759085
107	0.5904832509
108	0.5902507493
109	0.5894558565
110	0.5891553594
111	0.5888705056
112	0.5886932656
113	0.5883153903
114	0.5880871447
115	0.5878552921
116	0.5876397166
117	0.58748395
118	0.5873456052
119	0.5870656774
120	0.5869201196
121	0.586651094
122	0.5861745721
123	0.585775355
124	0.5853096158
125	0.5850741265
126	0.5849484994
127	0.5847649253
128	0.5845364491
129	0.5841046338
130	0.5837933216
131	0.5836226179
132	0.5834731847
133	0.5830133629
134	0.5827259856
135	0.5825680325
136	0.582096632
137	0.581912222
138	0.581757971
139	0.5815849455
140	0.5814162818
141	0.5811799114
142	0.5808089969
143	0.5805608046
144	0.5803527832
145	0.5801187813
146	0.5794272376
147	0.5789733363
148	0.5787723277
149	0.578552254
150	0.5783857269
151	0.5782672396
152	0.5780577711
153	0.5778340256
154	0.5776579329
155	0.5774336921
156	0.5772918577
157	0.5771349951
158	0.5769593225
159	0.5767180111
160	0.5765151625
161	0.5762962303
162	0.5760954569
163	0.5757316587
164	0.5756089242
165	0.5753329428
166	0.5750719007
167	0.574862262
168	0.5746458175
169	0.5745664777
170	0.5744877142
171	0.5743555102
172	0.5741501699
173	0.5739572961
174	0.5738531305
175	0.5737499078
176	0.5736001555
177	0.5735153339
178	0.5732950861
179	0.5730702153
180	0.5729941312
181	0.5728525553
182	0.5726645959
183	0.5725487722
184	0.5721226511
185	0.5720322904
186	0.5718699126
187	0.5717119603
188	0.5715724896
189	0.5712209089
190	0.5710988085
191	0.5709616111
192	0.5707920865
193	0.5705786072
194	0.5704216292
195	0.5701442913
196	0.5699948812
197	0.5697251544
198	0.5696165135
199	0.5695175241
200	0.5694256606
201	0.5693145574
202	0.5691664232
203	0.5689815315
204	0.5688479096
205	0.5687438155
206	0.5686486613
207	0.5685430905
208	0.5684525722
209	0.5682740005
210	0.5681703308
211	0.5680648248
212	0.5679251734
213	0.5677915149
214	0.5675457301
215	0.5674253007
216	0.5673267851
217	0.5672166989
218	0.5668689223
219	0.5667489079
220	0.5666426866
221	0.566450533
222	0.5663775901
223	0.5662298516
224	0.5660962418
225	0.5660086431
226	0.5658638487
227	0.5657450721
228	0.565652587
229	0.5654446345
230	0.5653452765
231	0.5652042847
232	0.5651212582
233	0.5650400645
234	0.564930366
235	0.5648716173
236	0.5647337744
237	0.5645894664
238	0.564462676
239	0.5641593007
240	0.5639953549
241	0.5639155497
242	0.5637213316
243	0.5636165456
244	0.5635072611
245	0.5633919544
246	0.5632945012
247	0.5631628053
248	0.5630575855
249	0.5629049868
250	0.5627640368
251	0.5626401466
252	0.5624262664
253	0.5623263868
254	0.5622172883
255	0.562100649
256	0.5619858454
257	0.5618724354
258	0.561722157
259	0.5616223508
260	0.5615284652
261	0.5614373022
262	0.5612511346
263	0.5611293809
264	0.5609825297
265	0.5609275603
266	0.5608298251
267	0.5606976202
268	0.5605970988
269	0.5604448418
270	0.5603658222
271	0.5602935218
272	0.5601726576
273	0.5600711624
274	0.5599658039
275	0.5597917642
276	0.5596253733
277	0.5595170265
278	0.5594425722
279	0.5593663268
280	0.559291294
281	0.559193595
282	0.5590459817
283	0.5589331416
284	0.558828614
285	0.5587338822
286	0.5586150171
287	0.5584647212
288	0.5583290733
289	0.5581567872
290	0.5579830755
291	0.5577903483
292	0.5576763473
293	0.5575821255
294	0.5574308701
295	0.5572472285
296	0.5571652445
297	0.5571020509
298	0.5569785846
299	0.5568800579
300	0.5567636778
301	0.5566748755
302	0.5564718246
303	0.5561907412
304	0.5560588397
305	0.5559643398
306	0.555818203
307	0.5556178982
308	0.555548757
309	0.5554228021
310	0.5552608631
311	0.5551744289
312	0.5550496359
313	0.5549715042
314	0.5548831469
315	0.5547856552
316	0.5546103369
317	0.5544695178
318	0.5543974251
319	0.5542916503
320	0.5541491839
321	0.5540684703
322	0.5539576641
323	0.5538690372
324	0.5538021524
325	0.5537079107
326	0.5536388701
327	0.5534683982
328	0.553405195
329	0.55331693
330	0.5532439492
331	0.55314387
332	0.5529916879
333	0.5529061895
334	0.55282556
335	0.5527371787
336	0.5525774679
337	0.5524841137
338	0.5523596077
339	0.5522934292
340	0.5521549689
341	0.5520525186
342	0.5519065759
343	0.5518001457
344	0.5515783564
345	0.5515082366
346	0.5514094824
347	0.5513308101
348	0.5512712714
349	0.5511822223
