iter	Passed	Remaining
0	146	29062
1	161	16029
2	176	11621
3	188	9239
4	198	7756
5	207	6705
6	215	5951
7	223	5356
8	229	4871
9	235	4475
10	240	4135
11	245	3838
12	249	3595
13	255	3394
14	260	3212
15	264	3045
16	268	2894
17	273	2766
18	278	2655
19	283	2553
20	288	2456
21	292	2367
22	297	2288
23	301	2213
24	305	2141
25	310	2075
26	314	2017
27	319	1963
28	324	1910
29	328	1863
30	333	1819
31	338	1778
32	343	1737
33	347	1698
34	352	1663
35	358	1632
36	363	1600
37	367	1566
38	372	1536
39	377	1510
40	382	1483
41	387	1457
42	392	1431
43	396	1407
44	407	1403
45	412	1381
46	417	1357
47	421	1334
48	426	1314
49	431	1294
50	436	1274
51	440	1254
52	445	1235
53	449	1216
54	455	1200
55	460	1183
56	464	1165
57	469	1148
58	474	1133
59	478	1117
60	483	1101
61	487	1085
62	492	1069
63	496	1055
64	501	1041
65	505	1026
66	509	1011
67	514	998
68	519	985
69	523	972
70	528	959
71	532	946
72	537	934
73	541	922
74	546	911
75	551	899
76	555	887
77	560	876
78	564	865
79	569	854
80	574	844
81	578	833
82	582	821
83	587	810
84	591	800
85	596	790
86	600	779
87	604	769
88	609	760
89	613	750
90	618	740
91	622	731
92	627	721
93	631	712
94	636	703
95	640	694
96	645	685
97	650	676
98	654	667
99	659	659
100	663	650
101	669	642
102	673	634
103	678	626
104	683	618
105	689	611
106	696	604
107	701	597
108	707	590
109	713	583
110	718	576
111	724	569
112	730	562
113	735	554
114	739	546
115	745	539
116	749	531
117	754	524
118	758	516
119	763	509
120	769	502
121	773	494
122	778	487
123	782	479
124	787	472
125	792	465
126	797	458
127	801	450
128	805	443
129	810	436
130	814	428
131	819	422
132	823	414
133	827	407
134	832	400
135	842	396
136	847	389
137	851	382
138	856	375
139	860	368
140	864	361
141	870	355
142	875	348
143	880	342
144	884	335
145	888	328
146	893	321
147	897	315
148	902	309
149	907	302
150	911	295
151	916	289
152	921	283
153	926	276
154	930	270
155	934	263
156	939	257
157	943	250
158	948	244
159	952	238
160	957	232
161	962	225
162	967	219
163	971	213
164	976	207
165	980	200
166	985	194
167	990	188
168	994	182
169	998	176
170	1003	170
171	1008	164
172	1012	158
173	1017	152
174	1022	146
175	1026	140
176	1030	133
177	1035	128
178	1039	122
179	1044	116
180	1049	110
181	1053	104
182	1059	98
183	1064	92
184	1068	86
185	1073	80
186	1077	74
187	1082	69
188	1086	63
189	1091	57
190	1096	51
191	1101	45
192	1105	40
193	1110	34
194	1114	28
195	1119	22
196	1123	17
197	1127	11
198	1131	5
199	1136	0
